//Grid  ID      x       y       z
GRID    1       0       0       0       
GRID    2       0.25    0       0       
GRID    3       0.5     0       0       
GRID    4       0.75    0       0       
GRID    5       1       0       0       
GRID    6       0       0.25    0       
GRID    7       0.25    0.25    0       
GRID    8       0.5     0.25    0       
GRID    9       0.75    0.25    0       
GRID    10      1       0.25    0       
GRID    11      0       0.5     0       
GRID    12      0.25    0.5     0       
GRID    13      0.5     0.5     0       
GRID    14      0.75    0.5     0       
GRID    15      1       0.5     0       
GRID    16      0       0.75    0       
GRID    17      0.25    0.75    0       
GRID    18      0.5     0.75    0       
GRID    19      0.75    0.75    0       
GRID    20      1       0.75    0       
GRID    21      0       1       0       
GRID    22      0.25    1       0       
GRID    23      0.5     1       0       
GRID    24      0.75    1       0       
GRID    25      1       1       0       
GRID    26      0       0       0.25    
GRID    27      0.25    0       0.25    
GRID    28      0.5     0       0.25    
GRID    29      0.75    0       0.25    
GRID    30      1       0       0.25    
GRID    31      0       0.25    0.25    
GRID    32      0.25    0.25    0.25    
GRID    33      0.5     0.25    0.25    
GRID    34      0.75    0.25    0.25    
GRID    35      1       0.25    0.25    
GRID    36      0       0.5     0.25    
GRID    37      0.25    0.5     0.25    
GRID    38      0.5     0.5     0.25    
GRID    39      0.75    0.5     0.25    
GRID    40      1       0.5     0.25    
GRID    41      0       0.75    0.25    
GRID    42      0.25    0.75    0.25    
GRID    43      0.5     0.75    0.25    
GRID    44      0.75    0.75    0.25    
GRID    45      1       0.75    0.25    
GRID    46      0       1       0.25    
GRID    47      0.25    1       0.25    
GRID    48      0.5     1       0.25    
GRID    49      0.75    1       0.25    
GRID    50      1       1       0.25    
GRID    51      0       0       0.5     
GRID    52      0.25    0       0.5     
GRID    53      0.5     0       0.5     
GRID    54      0.75    0       0.5     
GRID    55      1       0       0.5     
GRID    56      0       0.25    0.5     
GRID    57      0.25    0.25    0.5     
GRID    58      0.5     0.25    0.5     
GRID    59      0.75    0.25    0.5     
GRID    60      1       0.25    0.5     
GRID    61      0       0.5     0.5     
GRID    62      0.25    0.5     0.5     
GRID    63      0.5     0.5     0.5     
GRID    64      0.75    0.5     0.5     
GRID    65      1       0.5     0.5     
GRID    66      0       0.75    0.5     
GRID    67      0.25    0.75    0.5     
GRID    68      0.5     0.75    0.5     
GRID    69      0.75    0.75    0.5     
GRID    70      1       0.75    0.5     
GRID    71      0       1       0.5     
GRID    72      0.25    1       0.5     
GRID    73      0.5     1       0.5     
GRID    74      0.75    1       0.5     
GRID    75      1       1       0.5     
GRID    76      0       0       0.75    
GRID    77      0.25    0       0.75    
GRID    78      0.5     0       0.75    
GRID    79      0.75    0       0.75    
GRID    80      1       0       0.75    
GRID    81      0       0.25    0.75    
GRID    82      0.25    0.25    0.75    
GRID    83      0.5     0.25    0.75    
GRID    84      0.75    0.25    0.75    
GRID    85      1       0.25    0.75    
GRID    86      0       0.5     0.75    
GRID    87      0.25    0.5     0.75    
GRID    88      0.5     0.5     0.75    
GRID    89      0.75    0.5     0.75    
GRID    90      1       0.5     0.75    
GRID    91      0       0.75    0.75    
GRID    92      0.25    0.75    0.75    
GRID    93      0.5     0.75    0.75    
GRID    94      0.75    0.75    0.75    
GRID    95      1       0.75    0.75    
GRID    96      0       1       0.75    
GRID    97      0.25    1       0.75    
GRID    98      0.5     1       0.75    
GRID    99      0.75    1       0.75    
GRID    100     1       1       0.75    
GRID    101     0       0       1       
GRID    102     0.25    0       1       
GRID    103     0.5     0       1       
GRID    104     0.75    0       1       
GRID    105     1       0       1       
GRID    106     0       0.25    1       
GRID    107     0.25    0.25    1       
GRID    108     0.5     0.25    1       
GRID    109     0.75    0.25    1       
GRID    110     1       0.25    1       
GRID    111     0       0.5     1       
GRID    112     0.25    0.5     1       
GRID    113     0.5     0.5     1       
GRID    114     0.75    0.5     1       
GRID    115     1       0.5     1       
GRID    116     0       0.75    1       
GRID    117     0.25    0.75    1       
GRID    118     0.5     0.75    1       
GRID    119     0.75    0.75    1       
GRID    120     1       0.75    1       
GRID    121     0       1       1       
GRID    122     0.25    1       1       
GRID    123     0.5     1       1       
GRID    124     0.75    1       1       
GRID    125     1       1       1       
//Strut ID      Start   End
STRUT   1       1       101     
STRUT   2       5       105     
STRUT   3       21      121     
STRUT   4       25      125     
STRUT   5       1       21      
STRUT   6       21      25      
STRUT   7       25      5       
STRUT   8       1       5       
STRUT   9       101     121     
STRUT   10      121     125     
STRUT   11      125     105     
STRUT   12      105     101     
